project,sha,text,classification,indicator
nifi,4e2b61efe417da643d5fa234a4bf1abd286b7fb7,"NIFI-6652 UI Fix overflowing text in variables dialog
This closes #3982.",code_debt,low_quality_code
activemq,db1e6d1cb727310cb4ada286c0a32d402242a47a,https://issues.apache.org/jira/browse/AMQ-3935 - always page in messages when browsing,non_debt,-
kylin,81dd209a0ac1b9f142de07223879d867b623b725,Optimize in-men cube building,non_debt,-
groovy,bd69586ae105e4f6b0b2030c480d419c97c53dc7,"GROOVY-5816 Add an ""encoding"" option for Groovydoc tool and Ant task",non_debt,-
ambari,0241bf3e1659dd1bc4ba80c88b3e91866f4820e2,AMBARI-5596. Jobs page: Selection of vertex in table should center vertex in UI (alexantonenko),non_debt,-
jmeter,6114ca33e52367bc7a5379bb618b62ca8cda44bb,Bug 53145 - HTTP Sampler - function in path evaluated too early,non_debt,-
couchdb,07e179f7c5720544c7535106d2cb6a255922411c,"Merge pull request #3094 from cloudant/use-key_docid
Fix ordering of page_size based pagination for views",non_debt,-
shardingsphere,7da164d75b7179ba862c12ba6f69e6b7c744b98d,added throw new UnsupportedOperationException() for master-slave model,non_debt,-
jena,2409ee4af9bc15c17e5cf63698fc791262eb9571,"Refactor to make the HttpAction objects and servlets independent of Jetty.
An indirect dependency existed for HttpAction on SPARQLServer.
Refactoring is a step towards JENA-201 (Deliver Fuseki as a WAR file).",architecture_debt,violation_of_modularity
trafficserver,c479199b59408150f99d7db9f814519e3195d60c,TS-107: import from dev branch,non_debt,-
incubator-mxnet,8cc5c1c44864d10e9475e80aa6c01700cdbaa60a,util: docstring of _sig_checker (#305),non_debt,-
druid,1fb9b21cf0c5206e1f8ccf6ea1d5f771157488e3,async servlet delete support + cleanup,code_debt,low_quality_code
flink,d61664ca64bcb82c4e8ddf03a2ed38fe8edafa98,[FLINK-8696] [shell scripts] Remove JobManager local mode from shell scripts,non_debt,-
infrastructure-puppet,0bd194c4c6db5bf257d17fc8f25f1337ac091bbb,try to add a unique serverID,non_debt,-
cxf,f54a690113906bc641082dd4619011eccab76590,Tidying up the binding policy validators a bit more.,code_debt,low_quality_code
ambari,218f99d44f5209b93c5150ff81c99f11e7b750b7,AMBARI-24620 Duplicate view of configurations in Add Service wizard,non_debt,-
spark,030f2c2126d5075576cd6d83a1ee7462c48b953b,"Improved build configuration
1, Fix SPARK-1441: compile spark core error with hadoop 0.23.x
2, Fix SPARK-1491: maven hadoop-provided profile fails to build
3, Fix org.scala-lang: * ,org.apache.avro:* inconsistent versions dependency
4, A modified on the sql/catalyst/pom.xml,sql/hive/pom.xml,sql/core/pom.xml (Four spaces formatted into two spaces)
Closes #480 from witgo/format_pom and squashes the following commits:
03f652f [witgo] review commit
b452680 [witgo] Merge branch 'master' of https://github.com/apache/spark into format_pom
bee920d [witgo] revert fix SPARK-1629: Spark Core missing commons-lang dependence
7382a07 [witgo] Merge branch 'master' of https://github.com/apache/spark into format_pom
6902c91 [witgo] fix SPARK-1629: Spark Core missing commons-lang dependence
0da4bc3 [witgo] merge master
d1718ed [witgo] Merge branch 'master' of https://github.com/apache/spark into format_pom
e345919 [witgo] add avro dependency to yarn-alpha
77fad08 [witgo] Merge branch 'master' of https://github.com/apache/spark into format_pom
62d0862 [witgo] Fix org.scala-lang: * inconsistent versions dependency
1a162d7 [witgo] Merge branch 'master' of https://github.com/apache/spark into format_pom
934f24d [witgo] review commit
cf46edc [witgo] exclude jruby
06e7328 [witgo] Merge branch 'SparkBuild' into format_pom
99464d2 [witgo] fix maven hadoop-provided profile fails to build
0c6c1fc [witgo] Fix compile spark core error with hadoop 0.23.x
6851bec [witgo] Maintain consistent SparkBuild.scala, pom.xml",build_debt,build_others
brooklyn-server,67c74ba4675fc089f2a90f391062e430c7dae564,"Merge pull request #106 from ahgittin/fixing-controller
Fixing controller",non_debt,-
