project,pull_number,pull_type,id,text,classification,indicator
iceberg,1772,comment,728256911,"+1
Thanks @aokolnychyi!",non_debt,-
fineract,709,comment,583203509,"ekhacoop@ welcome to the Apache Fineract community! It looks like you are trying to make your first contribution to this Git repository? However, this Pull Request is ""empty"" - there are no ""Files Changed"" (above).  I'm therefore closing this.  We look forward to receiving more contributions from you in the future!",non_debt,-
carbondata,2691,comment,418741401,"Build Success with Spark 2.1.0, Please check CI http://136.243.101.176:8080/job/ApacheCarbonPRBuilder2.1/3/",non_debt,-
beam,1974,review,100887469,"What is the relationship between ""dataflow counters"" and ""metric updates""?  This comment refers to counters, while the code below refers to metric update protos.  Should this comment instead mention translating accumulators for metric updates so that this class should be renamed accordingly?
Also, the naming of the methods below is confusing: two arguments are passed, e.g. set_boolean(accumulator, metric_update_proto).  Just reading this signature suggests that the accumulator will somehow have a boolean set from metric_update_proto, which is the opposite of what is intended.  Can you instead rename these methods translate_*, e.g. for translate_boolean(accumulator, metric_update_proto)?  This would make it clear that we are translating accumulator into metric_update_proto.  If you do this, can you rename set_scalar and set_mean in this file as well?",code_debt,low_quality_code
geode,112,review,55901760,"Like setup, can probably do without the comments",non_debt,-
spark,8760,review,45791721,"can you change these params to `maxFailedTasks` and `maxBlacklistedExecutors`, and change the comment to:
This strategy adds an executor to the blacklist for _all_ tasks when the executor has too many task failures.  An executor is placed in the blacklist when there are more than [[maxFailedTasks]] failed tasks.  Furthermore, all executors in one node are put into the blacklist if there are more than [[maxBlacklistedExecutors]] blacklisted executors on one node.  The benefit of this strategy is that different taskSets can learn experience from other taskSet to avoid allocating tasks on problematic executors.",non_debt,-
carbondata,2826,comment,432122362,"Build Success with Spark 2.1.0, Please check CI http://136.243.101.176:8080/job/ApacheCarbonPRBuilder2.1/951/",non_debt,-
spark,3649,comment,66556800,"  [Test build #24335 has finished](https://amplab.cs.berkeley.edu/jenkins/job/SparkPullRequestBuilder/24335/consoleFull) for   PR 3649 at commit [`26aa58f`](https://github.com/apache/spark/commit/26aa58f951df85c279da844775dbee9d7a0953ff).
- This patch **passes all tests**.
- This patch merges cleanly.
- This patch adds the following public classes _(experimental)_:
  - `implicit class StringToSymbol(val sc: StringContext) extends AnyVal`",non_debt,-
pulsar,5491,comment,552050267,run cpp tests,non_debt,-
spark,20020,comment,353035963," * This patch passes all tests.
 * This patch merges cleanly.
 * This patch adds the following public classes _(experimental)_:
  * `trait DataWritingCommand extends Command `
  * `case class DataWritingCommandExec(cmd: DataWritingCommand, children: Seq[SparkPlan])`",non_debt,-
incubator-mxnet,11047,comment,438531615,@ankkhedia Is this good to go?,non_debt,-
nifi-minifi-cpp,926,review,508700255,"Okay, I get you. 
Wonder if we can find a solution in between. For eg. UUIDString is not a typedef, but publicly inherits SmallString, constructors are private and ID (where we create those) is a friend class?",non_debt,-
flink,8446,review,285160885,"I think you are right that in order to break up the cyclic dependency we would need to decouple the `SchedulingResultPartition` from the `SchedulingExecutionVertex` (via the `ExecutionVertexID` for example).
I'm wondering how bad this cyclic dependency and the need for mutable state is, though. From a user's perspective, the existing interfaces are a bit easier and more convenient to use. On the down side, it makes the implementation a bit harder and harder to test in isolation. However, do we want to test the `Scheduling*` implementations in isolation? Moreover, you always have this problem in graph structures which have bidirectional edges or loops.",build_debt,under-declared_dependencies
hudi,1469,comment,634970887,"# [Codecov](https://codecov.io/gh/apache/hudi/pull/1469?src=pr&el=h1) Report
------
[Continue to review full report at Codecov](https://codecov.io/gh/apache/hudi/pull/1469?src=pr&el=continue).",non_debt,-
incubator-mxnet,15270,summary,0,"In file included from ../src/kvstore/kvstore.cc:28:
../src/kvstore/./kvstore_local.h:281:23: warning: lambda capture 'this' is not used [-Wunused-lambda-capture]
    auto validator = [this](const int key, const NDArray& nd, bool ignore_sparse) -> bool {
                      ^
../src/kvstore/./kvstore_local.h:326:23: warning: lambda capture 'this' is not used [-Wunused-lambda-capture]
    auto validator = [this](const int key, const RSPVal& val_rowid, bool ignore_sparse) -> bool {
                      ^
In file included from ../src/c_api/c_api_profile.cc:35:
../src/c_api/../profiler/./profiler.h:1160:8: warning: 'mxnet::profiler::ProfileOperator::start' hides overloaded virtual function [-Woverloaded-virtual]
  void start(mxnet::Context::DeviceType dev_type, uint32_t dev_id) {
       ^
../src/c_api/../profiler/./profiler.h:870:8: note: hidden overloaded virtual function 'mxnet::profiler::ProfileEvent::start' declared here: different number of parameters (0 vs 2)
  void start() override {
       ^
../src/c_api/../profiler/./profiler.h:1212:8: warning: lambda capture 'this' is not used [-Wunused-lambda-capture]
      [this](OprExecStat *stat) {}, name_.c_str(), dev_type_, dev_id_,
       ^
See also #14940",non_debt,-
spark,23266,review,240395676,"@dongjoon-hyun, the problem that you pointed out was that the schema shouldn't require a reader. 
That's what I'm saying here, too: the table should have a schema and it shouldn't need to implement the read path to validate a write using the table schema.",non_debt,-
flink,2363,comment,240791329,"Thanks for your contribution @zentol. I've gone over the code and made some inline comments. My main concern/question is actually the representation of metric's type and hierarchy information. I think that encoding it in a string and then re-parsing it on the receiver side to reconstruct the information is rather fragile and error-prone especially wrt maintainability. Maybe you can give me some background why you decided to do it so.
Apart from that, I think the code contains many tests, which I really like :-)",design_debt,non-optimal_design
spark,29795,review,493190061,nit: use local variable if possible,code_debt,low_quality_code
druid,3958,summary,0,"GroupBy v2 doesn't cache on the broker, so it isn't actually testing
what the test was supposed to be testing. Also, the test failed due
to mismatched expectations.",non_debt,-
trafficcontrol,5681,summary,0,Use the Python Postinstall implementation by default,non_debt,-
